Time,DailyCount
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,2
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,1
24,1
25,1
26,0
27,1
28,0
29,2
30,2
31,1
32,0
33,4
34,3
35,4
36,1
37,0
38,1
39,2
40,0
41,1
42,2
43,0
44,1
45,1
46,1
47,2
48,2
49,3
50,0
51,1
52,3
53,3
54,1
55,4
56,3
57,5
58,2
59,4
60,5
61,3
62,5
63,6
64,2
65,3
66,4
67,1
68,10
69,1
70,6
71,6
72,7
73,4
74,7
75,3
76,6
77,8
78,6
79,7
80,8
81,8
82,5
83,11
84,3
85,4
86,3
87,3
88,3
89,6
90,8
91,6
92,7
93,9
94,3
95,4
96,9
97,9
98,9
99,8
100,7
101,4
102,3
103,6
104,6
105,14
106,4
107,8
108,18
109,9
110,10
111,5
112,8
113,7
114,4
115,14
116,15
117,11
118,16
119,8
120,8
121,9
122,14
123,11
124,3
125,7
126,11
127,17
128,10
129,9
130,10
131,13
132,10
133,11
134,11
135,9
136,9
137,12
138,12
139,6
140,13
141,12
142,12
143,5
144,9
145,11
146,5
147,8
148,14
149,12
150,2
151,6
152,11
153,16
154,12
155,16
156,9
157,7
158,8
159,8
160,11
161,7
162,9
163,5
164,15
165,15
166,6
167,3
168,4
169,12
170,10
171,8
172,8
173,20
174,9
175,8
176,12
177,13
178,8
179,9
180,9
181,16
182,12
183,14
184,12
185,11
186,10
187,19
188,12
189,13
190,12
191,23
192,15
193,13
194,11
195,6
196,10
197,10
198,9
199,11
200,18
201,15
202,9
203,8
204,14
205,9
206,10
207,18
208,8
209,17
210,15
211,20
212,20
213,11
214,11
215,14
216,11
217,10
218,8
219,17
220,13
221,13
222,8
223,8
224,13
225,13
226,7
227,16
228,15
229,13
230,17
231,10
232,9
233,10
234,13
235,12
236,14
237,7
238,11
239,5
240,5
241,15
242,17
243,11
244,13
245,16
246,15
247,9
248,14
249,21
250,13
251,14
252,13
253,14
254,16
255,12
256,9
257,9
258,9
259,17
260,12
261,12
262,15
263,15
264,23
265,14
266,12
267,10
268,12
269,18
270,15
271,13
272,8
273,16
274,19
275,13
276,15
277,9
278,13
279,8
280,6
281,11
282,13
283,11
284,10
285,18
286,12
287,10
288,15
289,10
290,7
291,15
292,15
293,12
294,8
295,13
296,19
297,15
298,14
299,13
300,9
301,13
302,15
303,17
304,10
305,15
306,16
307,9
308,12
309,5
310,9
311,13
312,12
313,13
314,10
315,12
316,11
317,10
318,11
319,11
320,11
321,11
322,17
323,14
324,14
325,6
326,9
327,5
328,15
329,13
330,14
331,8
332,12
333,14
334,4
335,10
336,13
337,14
338,6
339,10
340,9
341,11
342,10
343,12
344,8
345,7
346,14
347,12
348,7
349,13
350,14
351,15
352,9
353,8
354,10
355,15
356,20
357,10
358,13
359,12
360,14
361,6
362,12
363,7
364,10
365,13
366,10
367,9
368,11
369,16
370,5
371,16
372,11
373,9
374,10
375,8
376,15
377,8
378,18
379,14
380,10
381,12
382,9
383,12
384,10
385,7
386,7
387,11
388,9
389,10
390,11
391,13
392,9
393,7
394,13
395,12
396,10
397,10
398,7
399,10
400,14
401,16
402,9
403,5
404,9
405,4
406,11
407,13
408,10
409,12
410,13
411,10
412,6
413,10
414,6
415,8
416,9
417,4
418,8
419,9
420,8
421,8
422,11
423,10
424,14
425,15
426,14
427,13
428,11
429,12
430,13
431,15
432,13
433,11
434,12
435,13
436,12
437,13
438,12
439,12
440,13
441,3
442,8
443,10
444,9
445,10
446,12
447,9
448,11
449,9
450,12
451,16
452,14
453,11
454,12
455,12
456,12
457,11
458,8
459,12
460,13
461,11
462,19
463,7
464,7
465,13
466,11
467,9
468,6
469,12
470,13
471,15
472,13
473,6
474,5
475,10
476,10
477,10
478,11
479,10
480,15
481,9
482,11
483,8
484,7
485,9
486,12
487,12
488,17
489,8
490,7
491,9
492,5
493,18
494,11
495,9
496,13
497,16
498,9
499,14
500,16
501,15
502,11
503,11
504,6
505,10
506,13
507,6
508,16
509,10
510,14
511,12
512,15
513,18
514,18
515,10
516,12
517,18
518,18
519,14
520,11
521,8
522,9
523,7
524,12
525,13
526,21
527,16
528,16
529,9
530,16
531,13
