Time,MonthlyCount
0,14
30,57
60,154
90,249
120,303
150,287
180,374
210,364
240,405
270,376
300,348
330,334
360,319
390,288
420,336
450,331
480,333
510,398
540,331
570,383
600,356
630,342
660,361
690,371
720,350
750,352
780,343
810,368
840,345
870,285
900,380
930,344
960,329
990,359
1020,419
1050,424
1080,439
1110,369
1140,406
1170,404
1200,363
1230,381
1260,389
1290,438
1320,360
1350,407
1380,460
1410,451
1440,346
1470,369
1500,387
1530,377
1560,333
1590,274
1620,292
1650,389
1680,380
1710,359
1740,313
1770,284
1800,280
1830,334
1860,362
1890,466
1920,424
1950,378
1980,421
2010,411
2040,468
2070,422
2100,426
2130,451
2160,444
2190,419
2220,438
2250,405
2280,389
2310,457
2340,526
2370,457
2400,510
2430,523
2460,452
2490,436
2520,478
2550,456
2580,390
2610,402
2640,452
2670,406
2700,433
2730,508
2760,498
2790,465
2820,444
2850,421
2880,457
2910,406
2940,392
2970,403
3000,331
3030,345
3060,356
3090,351
3120,331
3150,356
3180,305
3210,339
3240,291
3270,405
3300,433
3330,424
3360,362
3390,425
3420,411
3450,353
3480,320
3510,309
3540,315
3570,325
3600,369
3630,389
3660,426
3690,383
3720,423
3750,428
3780,431
3810,426
3840,455
3870,450
3900,424
3930,431
3960,470
3990,356
4020,326
4050,296
4080,357
4110,388
4140,399
4170,394
4200,381
4230,437
4260,421
4290,392
4320,407
4350,367
4380,335
4410,375
4440,311
4470,313
4500,391
4530,481
4560,474
4590,476
4620,491
4650,460
4680,384
4710,431
4740,390
4770,407
4800,435
4830,422
4860,360
4890,352
4920,372
4950,366
4980,335
5010,338
5040,323
5070,365
5100,400
5130,359
5160,351
5190,348
5220,312
5250,374
5280,373
5310,364
5340,362
5370,325
5400,299
5430,64
