Time,WeeklyCount
0,1
7,5
14,2
21,4
28,12
35,9
42,9
49,15
56,27
63,27
70,39
77,53
84,30
91,47
98,43
105,68
112,75
119,60
126,80
133,70
140,67
147,69
154,71
161,60
168,71
175,75
182,90
189,93
196,82
203,84
210,102
217,77
224,94
231,75
238,77
245,102
252,82
259,108
266,88
273,93
280,81
287,84
294,91
301,95
308,74
315,77
322,80
329,75
336,73
343,73
350,91
357,74
364,74
371,77
378,85
385,68
392,68
399,67
406,75
413,54
420,80
427,88
434,87
441,61
448,85
455,79
462,72
469,74
476,76
483,73
490,72
497,92
504,75
511,103
518,79
525,104
532,82
539,68
546,63
553,84
560,105
567,80
574,71
581,105
588,92
595,93
602,69
609,85
616,95
623,76
630,76
637,89
644,78
651,74
658,85
665,94
672,76
679,81
686,92
693,80
700,105
707,84
714,70
721,72
728,74
735,79
742,99
749,89
756,85
763,80
770,81
777,83
784,93
791,69
798,83
805,68
812,72
819,95
826,83
833,98
840,100
847,71
854,92
861,62
868,72
875,79
882,60
889,55
896,67
903,92
910,77
917,104
924,94
931,80
938,75
945,76
952,77
959,89
966,74
973,82
980,71
987,80
994,86
1001,76
1008,97
1015,87
1022,91
1029,103
1036,105
1043,87
1050,99
1057,103
1064,108
1071,88
1078,100
1085,99
1092,97
1099,104
1106,102
1113,93
1120,86
1127,79
1134,90
1141,100
1148,102
1155,93
1162,75
1169,111
1176,101
1183,110
1190,72
1197,85
1204,94
1211,85
1218,80
1225,82
1232,82
1239,89
1246,87
1253,90
1260,95
1267,98
1274,93
1281,78
1288,90
1295,104
1302,108
1309,102
1316,87
1323,91
1330,76
1337,96
1344,81
1351,106
1358,93
1365,90
1372,91
1379,99
1386,110
1393,108
1400,113
1407,121
1414,117
1421,102
1428,86
1435,90
1442,82
1449,100
1456,68
1463,76
1470,75
1477,90
1484,86
1491,98
1498,88
1505,78
1512,90
1519,92
1526,107
1533,98
1540,85
1547,72
1554,90
1561,81
1568,76
1575,71
1582,79
1589,62
1596,54
1603,84
1610,48
1617,71
1624,65
1631,59
1638,79
1645,71
1652,87
1659,82
1666,81
1673,122
1680,95
1687,86
1694,98
1701,84
1708,71
1715,84
1722,84
1729,94
1736,74
1743,72
1750,70
1757,87
1764,62
1771,70
1778,90
1785,41
1792,60
1799,74
1806,60
1813,74
1820,56
1827,59
1834,73
1841,81
1848,84
1855,91
1862,76
1869,76
1876,88
1883,98
1890,95
1897,83
1904,115
1911,133
1918,99
1925,102
1932,107
1939,98
1946,100
1953,76
1960,102
1967,89
1974,81
1981,95
1988,95
1995,102
2002,102
2009,98
2016,86
2023,98
2030,102
2037,100
2044,107
2051,122
2058,114
2065,100
2072,93
2079,107
2086,105
2093,84
2100,96
2107,95
2114,104
2121,101
2128,107
2135,97
2142,94
2149,110
2156,123
2163,112
2170,106
2177,97
2184,90
2191,110
2198,87
2205,104
2212,94
2219,105
2226,103
2233,116
2240,87
2247,102
2254,82
2261,112
2268,93
2275,85
2282,91
2289,91
2296,90
2303,88
2310,118
2317,98
2324,100
2331,112
2338,106
2345,118
2352,139
2359,126
2366,109
2373,113
2380,112
2387,95
2394,107
2401,129
2408,110
2415,116
2422,122
2429,127
2436,129
2443,113
2450,130
2457,107
2464,116
2471,100
2478,101
2485,98
2492,105
2499,111
2506,93
2513,101
2520,105
2527,104
2534,125
2541,104
2548,117
2555,110
2562,109
2569,111
2576,96
2583,98
2590,94
2597,90
2604,84
2611,83
2618,82
2625,106
2632,94
2639,109
2646,112
2653,102
2660,103
2667,98
2674,90
2681,88
2688,86
2695,109
2702,101
2709,101
2716,94
2723,112
2730,120
2737,126
2744,122
2751,113
2758,105
2765,119
2772,129
2779,119
2786,103
2793,120
2800,96
2807,116
2814,106
2821,103
2828,97
2835,100
2842,100
2849,102
2856,96
2863,101
2870,89
2877,113
2884,109
2891,115
2898,102
2905,93
2912,101
2919,92
2926,95
2933,97
2940,100
2947,82
2954,103
2961,88
2968,93
2975,87
2982,83
2989,102
2996,87
3003,75
3010,82
3017,81
3024,70
3031,87
3038,90
3045,74
3052,81
3059,82
3066,79
3073,81
3080,88
3087,83
3094,89
3101,77
3108,78
3115,83
3122,80
3129,82
3136,72
3143,70
3150,93
3157,80
3164,90
3171,69
3178,72
3185,84
3192,59
3199,82
3206,67
3213,82
3220,78
3227,66
3234,89
3241,62
3248,64
3255,73
3262,74
3269,80
3276,86
3283,106
3290,107
3297,91
3304,95
3311,96
3318,101
3325,108
3332,98
3339,101
3346,104
3353,96
3360,86
3367,84
3374,83
3381,81
3388,86
3395,98
3402,77
3409,121
3416,110
3423,95
3430,98
3437,105
3444,84
3451,84
3458,86
3465,80
3472,81
3479,77
3486,81
3493,76
3500,70
3507,71
3514,68
3521,70
3528,63
3535,82
3542,76
3549,65
3556,72
3563,85
3570,78
3577,65
3584,78
3591,87
3598,79
3605,102
3612,76
3619,78
3626,98
3633,83
3640,86
3647,80
3654,105
3661,110
3668,115
3675,92
3682,83
3689,94
3696,84
3703,76
3710,96
3717,109
3724,100
3731,97
3738,98
3745,89
3752,94
3759,103
3766,99
3773,109
3780,96
3787,94
3794,110
3801,110
3808,97
3815,96
3822,82
3829,113
3836,101
3843,107
3850,100
3857,110
3864,102
3871,102
3878,103
3885,131
3892,92
3899,100
3906,103
3913,100
3920,95
3927,96
3934,96
3941,89
3948,118
3955,103
3962,111
3969,103
3976,115
3983,112
3990,102
3997,81
4004,84
4011,72
4018,70
4025,80
4032,81
4039,83
4046,66
4053,66
4060,62
4067,72
4074,68
4081,69
4088,82
4095,79
4102,108
4109,85
4116,101
4123,87
4130,90
4137,103
4144,86
4151,92
4158,86
4165,92
4172,89
4179,99
4186,89
4193,92
4200,92
4207,101
4214,88
4221,72
4228,98
4235,88
4242,97
4249,123
4256,94
4263,115
4270,97
4277,94
4284,98
4291,90
4298,86
4305,99
4312,83
4319,106
4326,90
4333,93
4340,90
4347,105
4354,70
4361,76
4368,95
4375,95
4382,95
4389,68
4396,83
4403,59
4410,86
4417,99
4424,68
4431,101
4438,90
4445,73
4452,58
4459,68
4466,72
4473,60
4480,68
4487,76
4494,92
4501,82
4508,81
4515,85
4522,117
4529,99
4536,109
4543,116
4550,113
4557,126
4564,108
4571,97
4578,115
4585,125
4592,108
4599,94
4606,116
4613,119
4620,114
4627,119
4634,102
4641,129
4648,113
4655,107
4662,104
4669,113
4676,92
4683,94
4690,94
4697,84
4704,79
4711,104
4718,86
4725,99
4732,122
4739,96
4746,103
4753,103
4760,66
4767,83
4774,90
4781,104
4788,102
4795,90
4802,99
