Time,MonthlyCount
0,29
30,34
60,41
90,30
120,48
150,44
180,53
210,29
240,41
270,41
300,32
330,22
360,22
390,24
420,28
450,39
480,33
510,36
540,42
570,32
600,32
630,19
660,27
690,36
720,29
750,41
780,27
810,23
840,35
870,24
900,33
930,29
960,24
990,27
1020,35
1050,31
1080,41
1110,31
1140,35
1170,21
1200,28
1230,26
1260,33
1290,29
1320,39
1350,36
1380,47
1410,33
1440,28
1470,30
1500,35
1530,37
1560,44
1590,26
1620,33
1650,37
1680,43
1710,38
1740,23
1770,27
1800,22
1830,30
1860,23
1890,34
1920,29
1950,35
1980,30
2010,34
2040,36
2070,22
2100,45
2130,45
2160,31
2190,29
2220,27
2250,32
2280,31
2310,38
2340,40
2370,35
2400,36
2430,32
2460,26
2490,30
2520,38
2550,34
2580,31
2610,21
2640,29
2670,29
2700,23
2730,23
2760,34
2790,30
2820,31
2850,26
2880,36
2910,29
2940,37
2970,33
3000,33
3030,45
3060,38
3090,33
3120,28
3150,31
3180,28
3210,24
3240,22
3270,33
3300,36
3330,33
3360,32
3390,39
3420,35
3450,40
3480,39
3510,33
3540,34
3570,23
3600,34
3630,36
3660,35
3690,42
3720,41
3750,35
3780,35
3810,39
3840,47
3870,39
3900,32
3930,39
3960,38
3990,33
4020,38
4050,25
4080,29
4110,34
4140,31
4170,29
4200,22
4230,30
4260,24
4290,28
4320,23
4350,32
4380,33
4410,38
4440,25
4470,25
4500,36
4530,33
4560,39
4590,35
4620,40
4650,31
4680,24
4710,26
4740,23
4770,42
4800,33
4830,28
4860,20
4890,24
4920,28
4950,34
4980,31
5010,22
5040,18
5070,24
5100,20
5130,21
5160,20
5190,28
5220,24
5250,33
5280,29
5310,32
5340,33
5370,29
5400,26
5430,21
5460,28
