Time,DailyCount
0,29
1,0
2,1
3,2
4,4
5,5
6,6
7,7
8,8
9,8
10,9
11,10
12,12
13,15
14,17
15,21
16,23
17,25
18,26
19,23
20,23
21,23
22,25
23,27
24,27
25,27
26,27
27,29
28,30
29,32
30,34
31,36
32,34
33,33
34,32
35,32
36,31
37,32
38,32
39,32
40,32
41,31
42,32
43,31
44,31
45,27
46,28
47,28
48,34
49,34
50,34
51,34
52,34
53,36
54,35
55,34
56,35
57,38
58,36
59,38
60,41
61,41
62,42
63,40
64,39
65,41
66,42
67,43
68,43
69,43
70,41
71,40
72,43
73,40
74,40
75,41
76,40
77,43
78,40
79,38
80,36
81,36
82,35
83,35
84,36
85,34
86,32
87,37
88,34
89,34
90,30
91,31
92,30
93,30
94,31
95,32
96,32
97,34
98,37
99,37
100,37
101,37
102,34
103,32
104,34
105,37
106,40
107,42
108,46
109,44
110,40
111,40
112,38
113,38
114,38
115,38
116,38
117,40
118,45
119,46
120,48
121,48
122,47
123,47
124,45
125,45
126,49
127,47
128,47
129,46
130,47
131,49
132,47
133,49
134,50
135,52
136,52
137,52
138,53
139,54
140,54
141,55
142,54
143,52
144,49
145,49
146,47
147,51
148,46
149,46
150,44
151,47
152,47
153,46
154,47
155,48
156,47
157,46
158,45
159,44
160,43
161,46
162,46
163,46
164,46
165,42
166,44
167,42
168,41
169,42
170,42
171,43
172,45
173,47
174,51
175,52
176,52
177,49
178,49
179,53
180,53
181,54
182,52
183,52
184,52
185,49
186,48
187,48
188,45
189,44
190,44
191,45
192,46
193,43
194,42
195,39
196,41
197,40
198,40
199,37
200,35
201,34
202,33
203,34
204,34
205,34
206,31
207,28
208,28
209,29
210,29
211,31
212,30
213,32
214,30
215,32
216,32
217,32
218,31
219,32
220,30
221,30
222,31
223,32
224,32
225,31
226,34
227,32
228,34
229,32
230,32
231,35
232,33
233,35
234,36
235,39
236,40
237,39
238,40
239,40
240,41
241,40
242,41
243,44
244,44
245,47
246,46
247,44
248,40
249,40
250,43
251,46
252,45
253,44
254,42
255,44
256,43
257,44
258,45
259,45
260,48
261,50
262,49
263,49
264,50
265,50
266,49
267,46
268,46
269,42
270,41
271,39
272,39
273,38
274,36
275,37
276,36
277,35
278,35
279,32
280,33
281,34
282,32
283,33
284,34
285,32
286,32
287,34
288,33
289,33
290,34
291,32
292,28
293,28
294,28
295,27
296,29
297,29
298,31
299,31
300,32
301,31
302,29
303,28
304,27
305,25
306,27
307,27
308,26
309,25
310,28
311,29
312,25
313,24
314,24
315,23
316,22
317,23
318,24
319,25
320,27
321,27
322,27
323,27
324,26
325,26
326,24
327,24
328,22
329,21
330,22
331,22
332,21
333,22
334,21
335,22
336,22
337,22
338,23
339,24
340,23
341,23
342,22
343,21
344,21
345,22
346,24
347,24
348,24
349,24
350,23
351,22
352,23
353,24
354,22
355,21
356,23
357,25
358,25
359,24
360,22
361,22
362,22
363,22
364,21
365,22
366,20
367,21
368,22
369,22
370,21
371,21
372,22
373,22
374,23
375,21
376,22
377,19
378,20
379,22
380,22
381,22
382,21
383,20
384,18
385,17
386,16
387,18
388,21
389,22
390,24
391,25
392,27
393,25
394,26
395,26
396,25
397,28
398,30
399,28
400,29
401,25
402,24
403,24
404,24
405,23
406,27
407,29
408,29
409,28
410,27
411,28
412,27
413,27
414,28
415,29
416,28
417,30
418,28
419,28
420,28
421,29
422,30
423,30
424,30
425,28
426,26
427,24
428,26
429,26
430,27
431,29
432,29
433,28
434,31
435,29
436,32
437,35
438,36
439,39
440,37
441,36
442,40
443,42
444,42
