Time,DailyCount
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,0
22,0
23,1
24,1
25,1
26,0
27,0
28,1
29,1
30,0
31,1
32,2
33,1
34,1
35,1
36,4
37,0
38,1
39,1
40,0
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,2
51,0
52,2
53,0
54,0
55,1
56,0
57,2
58,2
59,2
60,2
61,1
62,1
63,2
64,0
65,0
66,2
67,2
68,1
69,0
70,3
71,0
72,1
73,0
74,1
75,2
76,0
77,1
78,2
79,1
80,1
81,2
82,2
83,0
84,0
85,0
86,2
87,1
88,1
89,0
90,1
91,0
92,0
93,2
94,0
95,1
96,0
97,0
98,0
99,1
100,0
101,2
102,0
103,1
104,2
105,1
106,0
107,1
108,2
109,0
110,3
111,5
112,1
113,1
114,1
115,0
116,1
117,0
118,2
119,0
120,1
121,1
122,1
123,0
124,2
125,2
126,1
127,2
128,2
129,0
130,2
131,0
132,1
133,1
134,3
135,2
136,2
137,0
138,3
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,1
147,1
148,0
149,1
150,0
151,0
152,1
153,3
154,0
155,0
156,2
157,1
158,1
159,0
160,1
161,1
162,0
163,1
164,2
165,2
166,3
167,2
168,1
169,1
170,2
171,0
172,3
173,2
174,1
175,2
176,0
177,0
178,3
179,3
180,4
181,0
182,2
183,2
184,0
185,0
186,0
187,0
188,1
189,1
190,1
191,2
192,0
193,0
194,0
195,1
196,2
197,0
198,0
199,0
200,0
201,0
202,2
203,0
204,0
205,0
206,1
207,0
208,1
209,3
210,3
211,3
212,4
213,0
214,0
215,3
216,1
217,0
218,0
219,0
220,1
221,2
222,1
223,3
224,0
225,0
226,2
227,1
228,1
229,2
230,1
231,1
232,0
233,1
234,1
235,2
236,0
237,1
238,1
239,1
240,1
241,0
242,1
243,0
244,1
245,2
246,2
247,1
248,1
249,0
250,1
251,0
252,1
253,4
254,3
255,3
256,0
257,1
258,0
259,0
260,2
261,1
262,0
263,1
264,2
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,1
277,0
278,1
279,1
280,0
281,0
282,0
283,2
284,0
285,1
286,2
287,1
288,1
289,1
290,1
291,0
292,1
293,2
294,3
295,0
296,2
297,2
298,2
299,1
300,0
301,0
302,2
303,1
304,2
305,2
306,2
307,0
308,2
309,4
310,2
311,2
312,1
313,0
314,1
315,2
316,0
317,0
318,1
319,1
320,1
321,0
322,1
323,0
324,0
325,1
326,0
327,2
328,1
329,1
330,1
331,1
332,0
333,1
334,2
335,4
336,1
337,0
338,1
339,0
340,0
341,0
342,1
343,2
344,1
345,0
346,0
347,0
348,0
349,2
350,1
351,1
352,3
353,0
354,1
355,3
356,1
357,0
358,3
359,2
360,1
361,0
362,0
363,2
364,3
365,0
366,0
367,1
368,1
369,1
370,0
371,1
372,0
373,1
374,3
375,1
376,0
377,3
378,2
379,0
380,2
381,0
382,1
383,2
384,0
385,1
386,1
387,1
388,1
389,0
390,2
391,0
392,1
393,2
394,0
395,1
396,1
397,0
398,0
399,0
400,0
401,0
402,2
403,1
404,0
405,2
406,1
407,1
408,1
409,0
410,2
411,0
412,1
413,2
414,0
415,1
416,0
417,0
418,2
419,1
420,0
421,1
422,2
423,2
424,2
425,1
426,2
427,0
428,1
429,0
430,1
431,2
432,1
433,1
434,1
435,1
436,0
437,0
438,1
439,0
440,1
441,0
442,1
443,1
444,0
445,1
446,0
447,0
448,0
449,1
450,1
451,2
452,3
453,2
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,1
462,0
463,2
464,1
465,1
466,0
467,3
468,1
469,1
470,1
471,0
472,2
473,0
474,1
475,0
476,0
477,2
478,0
479,3
480,1
481,1
482,0
483,1
484,3
485,1
486,1
487,2
488,1
489,1
490,0
491,0
492,2
493,1
494,0
495,1
496,0
497,1
498,1
499,3
500,2
501,2
502,1
503,1
504,0
505,1
506,0
507,0
508,0
509,0
510,1
511,3
512,2
513,0
514,1
515,1
516,1
517,0
518,1
519,0
520,1
521,1
522,1
523,1
524,0
525,1
526,2
527,0
528,0
529,0
530,0
531,0
