Time,MonthlyCount
0,10
30,28
60,31
90,28
120,30
150,38
180,23
210,36
240,33
270,30
300,32
330,32
360,29
390,24
420,24
450,28
480,28
510,25
540,23
570,35
600,37
630,32
660,27
690,10
720,26
750,21
780,18
810,25
840,27
870,28
900,26
930,34
960,32
990,36
1020,27
1050,35
1080,29
1110,31
1140,22
1170,29
1200,29
1230,36
1260,40
1290,23
1320,30
1350,32
1380,37
1410,16
1440,25
1470,29
1500,27
1530,26
1560,19
1590,26
1620,38
1650,21
1680,30
1710,34
1740,31
1770,29
1800,28
1830,21
1860,31
1890,29
1920,31
1950,29
1980,36
2010,28
2040,27
2070,29
2100,31
2130,24
2160,25
2190,26
2220,34
2250,26
2280,27
2310,13
2340,14
2370,24
2400,27
2430,26
2460,31
2490,16
2520,31
2550,26
2580,36
2610,37
2640,27
2670,24
2700,28
2730,30
2760,38
2790,24
2820,16
2850,22
2880,38
2910,39
2940,23
2970,17
3000,29
3030,19
3060,14
3090,25
3120,25
3150,35
3180,21
3210,23
3240,28
3270,26
3300,16
3330,32
3360,35
3390,38
3420,30
3450,27
3480,36
3510,21
3540,26
3570,34
3600,28
3630,34
3660,21
3690,30
3720,21
3750,24
3780,16
3810,22
3840,32
3870,12
3900,18
3930,14
3960,10
3990,13
4020,27
4050,30
4080,33
4110,20
4140,31
4170,14
4200,16
4230,22
4260,10
4290,15
4320,19
4350,25
4380,25
4410,35
4440,19
4470,25
4500,29
4530,22
4560,23
4590,22
4620,23
4650,30
4680,24
4710,17
4740,13
4770,12
4800,25
4830,26
4860,18
4890,29
4920,21
4950,17
4980,16
5010,16
5040,34
5070,15
5100,28
5130,14
5160,14
