Time,WeeklyCount
0,0
7,3
14,2
21,3
28,7
35,8
42,4
49,5
56,10
63,7
70,7
77,9
84,5
91,3
98,6
105,12
112,6
119,7
126,8
133,11
140,2
147,6
154,5
161,11
168,10
175,12
182,5
189,5
196,4
203,5
210,14
217,7
224,7
231,6
238,5
245,7
252,12
259,7
266,7
273,5
280,5
287,7
294,10
301,9
308,12
315,5
322,5
329,10
336,3
343,5
350,10
357,8
364,6
371,9
378,7
385,6
392,5
399,5
406,6
413,6
420,10
427,6
434,4
441,3
448,9
455,2
462,8
469,5
476,7
483,10
490,4
497,11
504,2
511,8
518,5
525,3
532,7
539,3
546,6
553,3
560,8
567,7
574,7
581,6
588,11
595,10
602,9
609,9
616,10
623,7
630,9
637,5
644,10
651,6
658,7
665,5
672,8
679,8
686,1
693,2
700,3
707,3
714,2
721,2
728,7
735,7
742,10
749,8
756,6
763,2
770,3
777,3
784,3
791,5
798,6
805,5
812,9
819,5
826,2
833,7
840,8
847,9
854,6
861,2
868,6
875,10
882,2
889,8
896,7
903,4
910,3
917,6
924,11
931,5
938,8
945,5
952,13
959,9
966,6
973,11
980,6
987,7
994,12
1001,6
1008,7
1015,10
1022,6
1029,5
1036,6
1043,6
1050,15
1057,10
1064,7
1071,2
1078,6
1085,7
1092,5
1099,7
1106,9
1113,12
1120,6
1127,6
1134,3
1141,9
1148,1
1155,6
1162,4
1169,4
1176,8
1183,6
1190,8
1197,13
1204,6
1211,9
1218,3
1225,5
1232,8
1239,8
1246,11
1253,7
1260,11
1267,9
1274,7
1281,10
1288,7
1295,8
1302,7
1309,4
1316,4
1323,7
1330,9
1337,8
1344,3
1351,9
1358,7
1365,5
1372,7
1379,12
1386,7
1393,12
1400,8
1407,5
1414,7
1421,1
1428,0
1435,7
1442,5
1449,5
1456,5
1463,7
1470,8
1477,8
1484,5
1491,7
1498,6
1505,9
1512,5
1519,3
1526,8
1533,8
1540,9
1547,5
1554,1
1561,3
1568,8
1575,2
1582,3
1589,9
1596,6
1603,3
1610,8
1617,8
1624,10
1631,11
1638,7
1645,6
1652,5
1659,6
1666,4
1673,5
1680,4
1687,12
1694,6
1701,7
1708,8
1715,8
1722,6
1729,9
1736,9
1743,9
1750,7
1757,4
1764,6
1771,5
1778,3
1785,12
1792,6
1799,9
1806,8
1813,8
1820,4
1827,3
1834,6
1841,6
1848,7
1855,4
1862,8
1869,7
1876,3
1883,10
1890,5
1897,5
1904,7
1911,8
1918,12
1925,4
1932,8
1939,10
1946,6
1953,9
1960,6
1967,5
1974,4
1981,11
1988,5
1995,8
2002,12
2009,6
2016,9
2023,9
2030,1
2037,7
2044,5
2051,7
2058,9
2065,3
2072,4
2079,5
2086,12
2093,7
2100,6
2107,8
2114,8
2121,7
2128,5
2135,9
2142,5
2149,2
2156,7
2163,2
2170,11
2177,5
2184,5
2191,5
2198,7
2205,9
2212,4
2219,10
2226,6
2233,7
2240,5
2247,12
2254,9
2261,6
2268,4
2275,3
2282,10
2289,6
2296,5
2303,5
2310,4
2317,3
2324,3
2331,2
2338,2
2345,0
2352,4
2359,5
2366,6
2373,2
2380,6
2387,10
2394,6
2401,6
2408,2
2415,7
2422,10
2429,6
2436,6
2443,6
2450,7
2457,6
2464,8
2471,4
2478,11
2485,6
2492,3
2499,4
2506,3
2513,3
2520,2
2527,8
2534,10
2541,9
2548,9
2555,3
2562,3
2569,6
2576,10
2583,11
2590,7
2597,6
2604,11
2611,8
2618,6
2625,9
2632,12
2639,3
2646,4
2653,7
2660,8
2667,8
2674,4
2681,8
2688,5
2695,6
2702,9
2709,7
2716,6
2723,4
2730,9
2737,7
2744,7
2751,6
2758,10
2765,11
2772,6
2779,9
2786,5
2793,5
2800,9
2807,6
2814,4
2821,3
2828,5
2835,3
2842,3
2849,4
2856,3
2863,6
2870,8
2877,6
2884,3
2891,14
2898,10
2905,7
2912,10
2919,10
2926,9
2933,9
2940,5
2947,4
2954,5
2961,5
2968,6
2975,3
2982,4
2989,5
2996,6
3003,7
3010,6
3017,5
3024,9
3031,7
3038,2
3045,6
3052,3
3059,2
3066,0
3073,2
3080,5
3087,8
3094,6
3101,8
3108,5
3115,5
3122,9
3129,6
3136,5
3143,3
3150,9
3157,7
3164,9
3171,6
3178,8
3185,6
3192,5
3199,5
3206,3
3213,7
3220,3
3227,2
3234,10
3241,5
3248,6
3255,8
3262,5
3269,7
3276,2
3283,10
3290,6
3297,8
3304,4
3311,1
3318,5
3325,3
3332,7
3339,5
3346,10
3353,9
3360,12
3367,4
3374,8
3381,8
3388,7
3395,9
3402,13
3409,6
3416,11
3423,6
3430,5
3437,6
3444,9
3451,8
3458,9
3465,3
3472,5
3479,11
3486,8
3493,7
3500,7
3507,8
3514,6
3521,3
3528,2
3535,8
3542,5
3549,8
3556,4
3563,7
3570,4
3577,8
3584,10
3591,9
3598,8
3605,9
3612,8
3619,6
3626,3
3633,11
3640,5
3647,7
3654,11
3661,3
3668,4
3675,10
3682,0
3689,7
3696,6
3703,6
3710,11
3717,4
3724,4
3731,6
3738,5
3745,3
3752,10
3759,3
3766,5
3773,6
3780,2
3787,2
3794,9
3801,3
3808,3
3815,9
3822,4
3829,3
3836,7
3843,10
3850,5
3857,8
3864,5
3871,3
3878,4
3885,5
3892,0
3899,3
3906,5
3913,6
3920,3
3927,2
3934,7
3941,2
