Time,WeeklyCount
0,29
7,7
14,17
21,23
28,30
35,32
42,32
49,34
56,35
63,40
70,41
77,43
84,36
91,31
98,37
105,37
112,38
119,46
126,49
133,49
140,54
147,51
154,47
161,46
168,41
175,52
182,52
189,44
196,41
203,34
210,29
217,32
224,32
231,35
238,40
245,47
252,45
259,45
266,49
273,38
280,33
287,34
294,28
301,31
308,26
315,23
322,27
329,21
336,22
343,21
350,23
357,25
364,21
371,21
378,20
385,17
392,27
399,28
406,27
413,27
420,28
427,24
434,31
441,36
448,40
455,32
462,28
469,29
476,35
483,32
490,37
497,34
504,36
511,32
518,34
525,28
532,33
539,36
546,37
553,32
560,34
567,31
574,33
581,34
588,34
595,31
602,34
609,29
616,28
623,26
630,19
637,27
644,25
651,27
658,28
665,30
672,36
679,31
686,34
693,32
700,33
707,25
714,26
721,30
728,33
735,30
742,31
749,43
756,40
763,38
770,34
777,23
784,32
791,30
798,32
805,26
812,20
819,30
826,24
833,24
840,35
847,29
854,30
861,22
868,20
875,30
882,33
889,29
896,36
903,31
910,29
917,29
924,32
931,30
938,31
945,31
952,22
959,25
966,28
973,35
980,32
987,26
994,26
1001,26
1008,32
1015,33
1022,32
1029,28
1036,27
1043,28
1050,31
1057,38
1064,38
1071,40
1078,41
1085,36
1092,33
1099,29
1106,31
1113,26
1120,26
1127,27
1134,29
1141,30
1148,33
1155,30
1162,25
1169,20
1176,23
1183,26
1190,28
1197,28
1204,25
1211,25
1218,26
1225,26
1232,27
1239,34
1246,36
1253,39
1260,33
1267,32
1274,25
1281,27
1288,30
1295,29
1302,41
1309,38
1316,38
1323,42
1330,36
1337,35
1344,31
1351,34
1358,36
1365,39
1372,39
1379,40
1386,41
1393,44
1400,39
1407,40
1414,31
1421,28
1428,33
1435,34
1442,31
1449,33
1456,27
1463,30
1470,30
1477,32
1484,35
1491,41
1498,38
1505,34
1512,31
1519,39
1526,38
1533,40
1540,43
1547,39
1554,43
1561,44
1568,41
1575,39
1582,34
1589,27
1596,20
1603,32
1610,33
1617,34
1624,37
1631,40
1638,47
1645,38
1652,41
1659,43
1666,45
1673,44
1680,43
1687,42
1694,41
1701,38
1708,40
1715,34
1722,32
1729,31
1736,26
1743,23
1750,31
1757,35
1764,29
1771,27
1778,23
1785,18
1792,19
1799,24
1806,24
1813,20
1820,30
1827,28
1834,32
1841,24
1848,28
1855,27
1862,22
1869,20
1876,19
1883,30
1890,34
1897,35
1904,40
1911,36
1918,31
1925,32
1932,33
1939,31
1946,36
1953,33
1960,32
1967,34
1974,28
1981,30
1988,40
1995,36
2002,40
2009,32
2016,34
2023,30
2030,33
2037,36
2044,38
2051,31
2058,29
2065,21
2072,22
2079,27
2086,30
2093,40
2100,45
2107,54
2114,52
2121,50
2128,47
2135,40
2142,35
2149,32
2156,31
2163,34
2170,30
2177,24
2184,28
2191,29
2198,33
2205,32
2212,27
2219,29
2226,32
2233,34
2240,36
2247,31
2254,27
2261,27
2268,28
2275,25
2282,36
2289,34
2296,38
2303,37
2310,38
2317,37
2324,33
2331,34
2338,44
2345,39
2352,41
2359,38
2366,35
2373,31
2380,29
2387,31
2394,30
2401,37
2408,36
2415,35
2422,35
2429,34
2436,34
2443,27
2450,22
2457,24
2464,23
2471,26
2478,26
2485,33
2492,29
2499,35
2506,38
2513,33
2520,38
2527,39
2534,41
2541,50
2548,32
2555,37
2562,36
2569,28
2576,27
2583,31
2590,29
2597,25
2604,22
2611,22
2618,23
2625,25
2632,34
2639,30
2646,27
2653,23
2660,23
2667,30
2674,26
2681,29
2688,24
2695,24
2702,21
2709,21
2716,19
2723,26
